N	pyomo_ipopt	pyomo_status	scipy_cobyla	scipy_status
10	0.030369997024536133	ok	0.008114814758300781	1
15	0.03411149978637695	ok	0.06118464469909668	2
20	0.037061452865600586	ok	0.05062294006347656	1
25	0.06613588333129883	ok	0.05537676811218262	1
30	0.04914355278015137	ok	0.131605863571167	2
35	0.04163312911987305	ok	0.1458272933959961	1
40	0.04943275451660156	ok	0.25400662422180176	1
45	0.04847526550292969	ok	0.36301231384277344	2
50	0.04950451850891113	ok	0.5647335052490234	2
55	0.0517582893371582	ok	0.6196253299713135	2
60	0.05147743225097656	ok	0.7488596439361572	2
65	0.052847862243652344	ok	0.8916974067687988	2
70	0.05973553657531738	ok	1.7624714374542236	2
75	0.09563255310058594	ok	1.8370585441589355	2
80	0.112457275390625	ok	1.569511890411377	2
85	0.0681455135345459	ok	1.572136402130127	2
90	0.0646064281463623	ok	1.8748128414154053	2
95	0.06981468200683594	ok	2.6093714237213135	2
100	0.06729602813720703	ok	3.4526045322418213	2
105	0.07059144973754883	ok	0.045119524002075195	5
110	0.08081364631652832	ok	4.3787760734558105	2
115	0.16533946990966797	ok	4.610531568527222	2
120	0.13445234298706055	ok	6.472595930099487	2
125	0.08483695983886719	ok	7.7285895347595215	2
130	0.13958311080932617	ok	8.063349723815918	2
135	0.09127545356750488	ok	9.656618118286133	4
140	0.10047531127929688	ok	10.770042896270752	2
145	0.12496781349182129	ok	0.1361253261566162	5
150	0.11013245582580566	ok	11.995309829711914	4
155	0.1292123794555664	ok	13.97043251991272	2
160	0.11114978790283203	ok	2.9764485359191895	5
165	0.10938453674316406	ok	16.899495840072632	2
170	0.12022972106933594	ok	16.258999586105347	2
175	0.11589765548706055	ok	17.360907077789307	2
180	0.1095128059387207	ok	15.934395790100098	2
185	0.15598464012145996	ok	20.47935461997986	2
190	0.09903359413146973	ok	21.204265117645264	2
195	0.11077713966369629	ok	22.649644136428833	2
200	0.10941362380981445	ok	24.591150999069214	4
205	0.13886213302612305	ok	28.265955448150635	2
210	0.15398478507995605	ok	29.584493398666382	2
215	0.11256527900695801	ok	31.953698873519897	4
220	0.14374566078186035	ok	35.829468727111816	4
225	0.14783000946044922	ok	37.282878160476685	4
230	0.16604995727539062	ok	45.28804302215576	2
235	0.17060327529907227	ok	44.37548041343689	4
240	0.13828086853027344	ok	46.38898301124573	4
245	0.20276284217834473	ok	51.417036294937134	4
250	0.1705329418182373	ok	53.227060079574585	2
